country,country_code,party_abbreviation,party_english,cls
Austria,AT,FPO,FREEDOM PARTY OF AUSTRIA,TAN
Austria,AT,GRUNE,THE GREENS -- THE GREEN ALTERNATIVE,GAL
Austria,AT,LIF,LIBERAL FORUM,GAL
Austria,AT,N,CITIZENS' INITIATIVE FOR THE RETENTION OF NEUTRALITY,TAN
Austria,AT,OVP,AUSTRIAN PEOPLE'S PARTY,TAN
Austria,AT,SPO,SOCIAL DEMOCRATIC PARTY OF AUSTRIA,GAL
Austria,AT,BZO,ALLIANCE FOR THE FUTURE OF AUSTRIA,TAN
Austria,AT,NEOS,NEOS – THE NEW AUSTRIA,GAL
Austria,AT,REKOS,THE REFORM CONSERVATIVES,TAN
Austria,AT,KPO,COMMUNIST PARTY OF AUSTRIA,GAL
Belgium,BE,CD&V,CHRISTIAN-DEMOCRAT AND FLEMISH / NEW FLEMISH ALLIANCE,TAN
Belgium,BE,CDH,HUMANIST DEMOCRATIC CENTRE,GAL
Belgium,BE,ECOLO,CONFEDERATED ECOLOGISTS FOR THE ORGANISATION OF ORIGINAL STRUGGLES,GAL
Belgium,BE,FN,NATIONAL FRONT,TAN
Belgium,BE,GROEN!,AGALEV -- GREEN,GAL
Belgium,BE,OPENVLD,PARTY OF LIBERTY AND PROGRESS -- OPEN FLEMISH LIBERALS AND DEMOCRATS,GAL
Belgium,BE,PRL-FDF,LIBERAL REFORMATION PARTY - FRANCOPHONE DEMOCRATIC FRONT,GAL
Belgium,BE,PS,SOCIALIST PARTY [FRANCOPHONE],GAL
Belgium,BE,SP,SOCIALIST PARTY DIFFERENTLY,GAL
Belgium,BE,VB,FLEMISH INTEREST,TAN
Belgium,BE,VU,PEOPLE'S UNION [FLEMISH CONCENTRATION],TAN
Belgium,BE,WOW,GROWING OLD IN DIGNITY,GAL
Belgium,BE,VIVANT,ALIVE,GAL
Belgium,BE,MR,REFORMIST MOVEMENT,GAL
Belgium,BE,SP.A-SPIRIT,SOCIALIST PARTY DIFFERENT / SOCIAL LIBERAL PARTY / SPIRIT,GAL
Belgium,BE,LDD,"LIST DEDECKER / LIBERTARIAN, DIRECT, DEMOCRATIC",GAL
Belgium,BE,N-VA,NEW FLEMISH ALLIANCE,TAN
Belgium,BE,FDF,FRONT DEMOCRATIQUE DES FRANCOPHONES / DEFI,GAL
Belgium,BE,PAPTB,WORKERS' PARTY OF BELGIUM,GAL
Belgium,BE,PARTI POPULAIRE,PEOPLE'S PARTY,TAN
Belgium,BE,CSP,CHRISTIAN SOCIAL PARTY,TAN
Bulgaria,BG,ATAKA,NATIONAL UNION ATTACK,TAN
Bulgaria,BG,DPS,MOVEMENT FOR RIGHTS AND FREEDOMS,GAL
Bulgaria,BG,DSB,DEMOCRATS FOR A STRONG BULGARIA,TAN
Bulgaria,BG,GERB,CITIZENS FOR EUROPEAN DEVELOPMENT OF BULGARIA,TAN
Bulgaria,BG,NDSV,NATIONAL MOVEMENT (SIMEON II) FOR STABILITY AND PROGRESS,TAN
Bulgaria,BG,SDS,UNION OF DEMOCRATIC FORCES,TAN
Bulgaria,BG,ZNS,AGRARIAN PEOPLE'S UNION,TAN
